,reaction,name,notes,annotation,gpr,subunit_mw,subunit_num,reaction_mw_not_condider_subunit,reaction_mw_condider_subunit,smoment_no_adj_kcat,smoment_adj_kcat,kcat_in_vitro,kapp,kcat_zhaoxin,kcat_GO,kcat_ec_model,kcat_GO_change_type,kcat_zhao_change_type,model_ori_fluxes,ECMpy_fluxes,model_gecko_no_adj_fluxes,model_gecko_adj_fluxes,model_gecko_no_adj_subunit_fluxes,model_gecko_adj_subunit_fluxes,model_smoment_no_adj_fluxes,model_smoment_adj_fluxes,model_smoment_no_adj_subunit_fluxes,model_smoment_adj_subunit_fluxes
GLCNtex,glcn_e --> glcn_p,D-gluconate transport via diffusion (extracellular to periplasm),"OrderedDict([('reflection', 'GLCNtex_reverse')])","OrderedDict([('bigg.reaction', 'GLCNtex'), ('metanetx.reaction', 'MNXR100210'), ('sbo', 'SBO:0000375')])",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
GDPtex_reverse,gdp_p --> gdp_e,,"OrderedDict([('reflection', 'GDPtex')])",,b2215 or b0929 or b1377 or b0241,40.36812 or 39.33331 or 41.21985 or 38.922 ,3 or 3 or 1 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
GDPtex,gdp_e --> gdp_p,GDP transport via diffusion (extracellular to periplasm),"OrderedDict([('reflection', 'GDPtex_reverse')])","OrderedDict([('bigg.reaction', 'GDPtex'), ('metanetx.reaction', 'MNXR100096'), ('sbo', 'SBO:0000375')])",b2215 or b0929 or b1377 or b0241,40.36812 or 39.33331 or 41.21985 or 38.922 ,3 or 3 or 1 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
GBBTNtex_reverse,gbbtn_p --> gbbtn_e,,"OrderedDict([('reflection', 'GBBTNtex')])",,b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
GBBTNtex,gbbtn_e --> gbbtn_p,Gamma-butyrobetaine transport via diffusion (extracellular to periplasm),"OrderedDict([('reflection', 'GBBTNtex_reverse')])","OrderedDict([('bigg.reaction', 'GBBTNtex'), ('metanetx.reaction', 'MNXR100053'), ('rhea', ['32835', '32836', '32837', '32838']), ('sbo', 'SBO:0000375')])",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
GAMAN6Ptex_reverse,gam6p_p --> gam6p_e,,"OrderedDict([('reflection', 'GAMAN6Ptex')])",,b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
GAMAN6Ptex,gam6p_e --> gam6p_p,D-glucosamine 6-phosphate transport via diffusion (extracellular to periplasm),"OrderedDict([('reflection', 'GAMAN6Ptex_reverse')])","OrderedDict([('bigg.reaction', 'GAMAN6Ptex'), ('metanetx.reaction', 'MNXR100031'), ('sbo', 'SBO:0000375')])",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
GAMtex_reverse,gam_p --> gam_e,,"OrderedDict([('reflection', 'GAMtex')])",,b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
GAMtex,gam_e --> gam_p,D-glucosamine transport via diffusion (extracellular to periplasm),"OrderedDict([('reflection', 'GAMtex_reverse')])","OrderedDict([('bigg.reaction', 'GAMtex'), ('metanetx.reaction', 'MNXR100035'), ('sbo', 'SBO:0000375')])",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
GALURtex_reverse,galur_p --> galur_e,,"OrderedDict([('reflection', 'GALURtex')])",,b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
GALURtex,galur_e --> galur_p,D-galacturonate transport via diffusion (extracellular to periplasm),"OrderedDict([('reflection', 'GALURtex_reverse')])","OrderedDict([('bigg.reaction', 'GALURtex'), ('metanetx.reaction', 'MNXR100021'), ('sbo', 'SBO:0000375')])",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
GALTtex_reverse,galt_p --> galt_e,,"OrderedDict([('reflection', 'GALTtex')])",,b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
GALTtex,galt_e --> galt_p,Galactitol transport via diffusion (extracellular to periplasm),"OrderedDict([('reflection', 'GALTtex_reverse')])","OrderedDict([('bigg.reaction', 'GALTtex'), ('metanetx.reaction', 'MNXR100019'), ('rhea', ['33143', '33144', '33145', '33146']), ('sbo', 'SBO:0000375')])",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
GALCTNLtex_reverse,galctn__L_p --> galctn__L_e,,"OrderedDict([('reflection', 'GALCTNLtex')])",,b0929 or b2215 or b1377 or b0241,39.33331 or 40.36812 or 41.21985 or 38.922 ,3 or 3 or 1 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
GALCTNLtex,galctn__L_e --> galctn__L_p,L-galactonate transport via diffusion (extracellular to periplasm),"OrderedDict([('reflection', 'GALCTNLtex_reverse')])","OrderedDict([('bigg.reaction', 'GALCTNLtex'), ('metanetx.reaction', 'MNXR99959'), ('sbo', 'SBO:0000375')])",b0929 or b2215 or b1377 or b0241,39.33331 or 40.36812 or 41.21985 or 38.922 ,3 or 3 or 1 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
GALCTNtex_reverse,galctn__D_p --> galctn__D_e,,"OrderedDict([('reflection', 'GALCTNtex')])",,b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
GALCTNtex,galctn__D_e --> galctn__D_p,D-galactonate transport via diffusion (extracellular to periplasm),"OrderedDict([('reflection', 'GALCTNtex_reverse')])","OrderedDict([('bigg.reaction', 'GALCTNtex'), ('metanetx.reaction', 'MNXR99961'), ('sbo', 'SBO:0000375')])",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
GALCTtex_reverse,galct__D_p --> galct__D_e,,"OrderedDict([('reflection', 'GALCTtex')])",,b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
GALCTtex,galct__D_e --> galct__D_p,D-galactarte transport via diffusion (extracellular to periplasm),"OrderedDict([('reflection', 'GALCTtex_reverse')])","OrderedDict([('bigg.reaction', 'GALCTtex'), ('biocyc', 'META:TRANS-RXN0-203'), ('metanetx.reaction', 'MNXR99963'), ('rhea', ['28478', '28479', '28480', '28481']), ('sbo', 'SBO:0000375')])",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
GAL1Ptex_reverse,gal1p_p --> gal1p_e,,"OrderedDict([('reflection', 'GAL1Ptex')])",,b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
GAL1Ptex,gal1p_e --> gal1p_p,D-galactose 1-phosphate transport via diffusion (extracellular to periplasm),"OrderedDict([('reflection', 'GAL1Ptex_reverse')])","OrderedDict([('bigg.reaction', 'GAL1Ptex'), ('metanetx.reaction', 'MNXR99923'), ('sbo', 'SBO:0000375')])",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
GALtex_reverse,gal_p --> gal_e,,"OrderedDict([('reflection', 'GALtex')])",,b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
GALtex,gal_e --> gal_p,D-galactose transport via diffusion (extracellular to periplasm),"OrderedDict([('reflection', 'GALtex_reverse')])","OrderedDict([('bigg.reaction', 'GALtex'), ('metanetx.reaction', 'MNXR100025'), ('rhea', ['34915', '34916', '34917', '34918']), ('sbo', 'SBO:0000375')])",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
GALBDtex_reverse,gal_bD_p --> gal_bD_e,,"OrderedDict([('reflection', 'GALBDtex')])",,b0929 or b2215 or b0241 or b1377,39.33331 or 40.36812 or 38.922 or 41.21985 ,3 or 3 or 3 or 1 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
GALBDtex,gal_bD_e --> gal_bD_p,Beta D-galactose transport via diffusion (extracellular to periplasm),"OrderedDict([('reflection', 'GALBDtex_reverse')])","OrderedDict([('bigg.reaction', 'GALBDtex'), ('metanetx.reaction', 'MNXR99953'), ('sbo', 'SBO:0000375')])",b0929 or b2215 or b0241 or b1377,39.33331 or 40.36812 or 38.922 or 41.21985 ,3 or 3 or 3 or 1 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
G6Ptex_reverse,g6p_p --> g6p_e,,"OrderedDict([('reflection', 'G6Ptex')])",,b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
G6Ptex,g6p_e --> g6p_p,Glucose 6-phosphate transport via diffusion (extracellular to periplasm),"OrderedDict([('reflection', 'G6Ptex_reverse')])","OrderedDict([('bigg.reaction', 'G6Ptex'), ('metanetx.reaction', 'MNXR99915'), ('sbo', 'SBO:0000375')])",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
G3PStex_reverse,g3ps_p --> g3ps_e,,"OrderedDict([('reflection', 'G3PStex')])",,b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
G3PStex,g3ps_e --> g3ps_p,Glycerophosphserine transport via diffusion (extracellular to periplasm),"OrderedDict([('reflection', 'G3PStex_reverse')])","OrderedDict([('bigg.reaction', 'G3PStex'), ('metanetx.reaction', 'MNXR99893'), ('sbo', 'SBO:0000375')])",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
G3PItex_reverse,g3pi_p --> g3pi_e,,"OrderedDict([('reflection', 'G3PItex')])",,b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
G3PItex,g3pi_e --> g3pi_p,Glycero-3-phospho-1-inositol transport via diffusion (extracellular to periplasm),"OrderedDict([('reflection', 'G3PItex_reverse')])","OrderedDict([('bigg.reaction', 'G3PItex'), ('metanetx.reaction', 'MNXR99888'), ('rhea', ['32915', '32916', '32917', '32918']), ('sbo', 'SBO:0000375')])",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
G3PGtex_reverse,g3pg_p --> g3pg_e,,"OrderedDict([('reflection', 'G3PGtex')])",,b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
G3PGtex,g3pg_e --> g3pg_p,Glycerophoglycerol transport via diffusion (extracellular to periplasm),"OrderedDict([('reflection', 'G3PGtex_reverse')])","OrderedDict([('bigg.reaction', 'G3PGtex'), ('metanetx.reaction', 'MNXR99886'), ('sbo', 'SBO:0000375')])",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
G3PEtex_reverse,g3pe_p --> g3pe_e,,"OrderedDict([('reflection', 'G3PEtex')])",,b2215 or b0929 or b1377 or b0241,40.36812 or 39.33331 or 41.21985 or 38.922 ,3 or 3 or 1 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
G3PEtex,g3pe_e --> g3pe_p,Glycero-3-phosphoethanolamine transport via diffusion (extracellular to periplasm),"OrderedDict([('reflection', 'G3PEtex_reverse')])","OrderedDict([('bigg.reaction', 'G3PEtex'), ('metanetx.reaction', 'MNXR99884'), ('sbo', 'SBO:0000375')])",b2215 or b0929 or b1377 or b0241,40.36812 or 39.33331 or 41.21985 or 38.922 ,3 or 3 or 1 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
G3PCtex_reverse,g3pc_p --> g3pc_e,,"OrderedDict([('reflection', 'G3PCtex')])",,b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
G3PCtex,g3pc_e --> g3pc_p,Glycero-3-phosphocholine transport via diffusion (extracellular to periplasm),"OrderedDict([('reflection', 'G3PCtex_reverse')])","OrderedDict([('bigg.reaction', 'G3PCtex'), ('metanetx.reaction', 'MNXR99874'), ('rhea', ['32911', '32912', '32913', '32914']), ('sbo', 'SBO:0000375')])",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
G1Ptex_reverse,g1p_p --> g1p_e,,"OrderedDict([('reflection', 'G1Ptex')])",,b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
G1Ptex,g1p_e --> g1p_p,D-glucose 1-phosphate transport via diffusion,"OrderedDict([('reflection', 'G1Ptex_reverse')])","OrderedDict([('bigg.reaction', 'G1Ptex'), ('metanetx.reaction', 'MNXR99849'), ('sbo', 'SBO:0000375')])",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
FUSAtex_reverse,fusa_p --> fusa_e,,"OrderedDict([('reflection', 'FUSAtex')])",,b1377 or b2215 or b0929 or b0241,41.21985 or 40.36812 or 39.33331 or 38.922 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
FUSAtex,fusa_e --> fusa_p,Fusidic acid transport via diffusion (extracellular to periplasm),"OrderedDict([('reflection', 'FUSAtex_reverse')])","OrderedDict([('bigg.reaction', 'FUSAtex'), ('metanetx.reaction', 'MNXR99717'), ('rhea', ['35103', '35104', '35105', '35106']), ('sbo', 'SBO:0000375')])",b1377 or b2215 or b0929 or b0241,41.21985 or 40.36812 or 39.33331 or 38.922 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
FUMtex_reverse,fum_p --> fum_e,,"OrderedDict([('reflection', 'FUMtex')])",,b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
FUMtex,fum_e --> fum_p,Fumarate transport via diffusion (extracellular to periplasm),"OrderedDict([('reflection', 'FUMtex_reverse')])","OrderedDict([('bigg.reaction', 'FUMtex'), ('biocyc', 'META:TRANS-RXN0-553'), ('metanetx.reaction', 'MNXR99715'), ('sbo', 'SBO:0000375')])",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
FUCtex_reverse,fuc__L_p --> fuc__L_e,,"OrderedDict([('reflection', 'FUCtex')])",,b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
FUCtex,fuc__L_e --> fuc__L_p,L-fucose transport via diffusion (extracellular to periplasm),"OrderedDict([('reflection', 'FUCtex_reverse')])","OrderedDict([('bigg.reaction', 'FUCtex'), ('metanetx.reaction', 'MNXR99704'), ('sbo', 'SBO:0000375')])",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
FRUURtex_reverse,fruur_p --> fruur_e,,"OrderedDict([('reflection', 'FRUURtex')])",,b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
FRUURtex,fruur_e --> fruur_p,D-fructuronate transport via diffusion (extracellular),"OrderedDict([('reflection', 'FRUURtex_reverse')])","OrderedDict([('bigg.reaction', 'FRUURtex'), ('metanetx.reaction', 'MNXR99659'), ('sbo', 'SBO:0000375')])",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
FRULYStex_reverse,frulys_p --> frulys_e,,"OrderedDict([('reflection', 'FRULYStex')])",,b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
FRULYStex,frulys_e --> frulys_p,Fructoselysine transporter via diffusion (extracellular),"OrderedDict([('reflection', 'FRULYStex_reverse')])","OrderedDict([('bigg.reaction', 'FRULYStex'), ('biocyc', 'META:TRANS-RXN0-417'), ('metanetx.reaction', 'MNXR99657'), ('rhea', ['28454', '28455', '28456', '28457']), ('sbo', 'SBO:0000375')])",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
FRUtex_reverse,fru_p --> fru_e,,"OrderedDict([('reflection', 'FRUtex')])",,b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
FRUtex,fru_e --> fru_p,D-fructose transport via diffusion (extracellular to periplasm),"OrderedDict([('reflection', 'FRUtex_reverse')])","OrderedDict([('bigg.reaction', 'FRUtex'), ('metanetx.reaction', 'MNXR99663'), ('sbo', 'SBO:0000375')])",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
FORtex_reverse,for_p --> for_e,,"OrderedDict([('reflection', 'FORtex')])",,b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
FORtex,for_e --> for_p,Formate transport via diffusion (extracellular to periplasm),"OrderedDict([('reflection', 'FORtex_reverse')])","OrderedDict([('bigg.reaction', 'FORtex'), ('biocyc', 'META:TRANS-RXN-1'), ('metanetx.reaction', 'MNXR99620'), ('rhea', ['29679', '29680', '29681', '29682']), ('sbo', 'SBO:0000375')])",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
FE3tex_reverse,fe3_p --> fe3_e,,"OrderedDict([('reflection', 'FE3tex')])",,b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
FE3tex,fe3_e --> fe3_p,Iron (III) transport via diffusion (extracellular to periplasm),"OrderedDict([('reflection', 'FE3tex_reverse')])","OrderedDict([('bigg.reaction', 'FE3tex'), ('metanetx.reaction', 'MNXR99522'), ('rhea', ['34971', '34972', '34973', '34974']), ('sbo', 'SBO:0000375')])",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
FE2tex_reverse,fe2_p --> fe2_e,,"OrderedDict([('reflection', 'FE2tex')])",,b0241 or b1377 or b2215 or b0929,38.922 or 41.21985 or 40.36812 or 39.33331 ,3 or 1 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
FE2tex,fe2_e --> fe2_p,Iron (II) transport via diffusion (extracellular to periplasm),"OrderedDict([('reflection', 'FE2tex_reverse')])","OrderedDict([('bigg.reaction', 'FE2tex'), ('biocyc', 'META:TRANS-RXN-8'), ('metanetx.reaction', 'MNXR99505'), ('rhea', ['28486', '28487', '28488', '28489']), ('sbo', 'SBO:0000375')])",b0241 or b1377 or b2215 or b0929,38.922 or 41.21985 or 40.36812 or 39.33331 ,3 or 1 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0.014085452,0.011361651,0.013123262,0.014075305,0,0,0.014075306,0.014075306,0.006006795,0.009406618
FALDtex_reverse,fald_p --> fald_e,,"OrderedDict([('reflection', 'FALDtex')])",,b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
FALDtex,fald_e --> fald_p,Formaldehyde transport via diffusion (extracellular to periplasm),"OrderedDict([('reflection', 'FALDtex_reverse')])","OrderedDict([('bigg.reaction', 'FALDtex'), ('metanetx.reaction', 'MNXR99238'), ('sbo', 'SBO:0000375')])",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
F6Ptex_reverse,f6p_p --> f6p_e,,"OrderedDict([('reflection', 'F6Ptex')])",,b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
F6Ptex,f6p_e --> f6p_p,Fructose 6-phosphate transport via diffusion (extracellular to periplasm),"OrderedDict([('reflection', 'F6Ptex_reverse')])","OrderedDict([('bigg.reaction', 'F6Ptex'), ('metanetx.reaction', 'MNXR99076'), ('sbo', 'SBO:0000375')])",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
ETOHtex_reverse,etoh_p --> etoh_e,,"OrderedDict([('reflection', 'ETOHtex')])",,b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
ETOHtex,etoh_e --> etoh_p,Ethanol transport via diffusion (extracellular to periplasm),"OrderedDict([('reflection', 'ETOHtex_reverse')])","OrderedDict([('bigg.reaction', 'ETOHtex'), ('biocyc', 'META:TRANS-RXN0-546'), ('metanetx.reaction', 'MNXR97980'), ('rhea', ['35267', '35268', '35269', '35270']), ('sbo', 'SBO:0000375')])",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
ETHSO3tex_reverse,ethso3_p --> ethso3_e,,"OrderedDict([('reflection', 'ETHSO3tex')])",,b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
ETHSO3tex,ethso3_e --> ethso3_p,Ethanesulfonate transport via diffusion (extracellular to periplasm),"OrderedDict([('reflection', 'ETHSO3tex_reverse')])","OrderedDict([('bigg.reaction', 'ETHSO3tex'), ('metanetx.reaction', 'MNXR97978'), ('sbo', 'SBO:0000375')])",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
ETHAtex_reverse,etha_p --> etha_e,,"OrderedDict([('reflection', 'ETHAtex')])",,b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 ,,,,467.9193702,,,,7.105,,GO,,0,0,0,0,0,0,0,0,0,0
