,ori_gecko_smoment_flux_cb,ori_gecko_smoment_subunit_flux_cb,mw_cb,kcat_cb
D_LACt2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
Kt2pp,0.17 # 0.17 # 0.17,0.17 # 0.14 # 0.0 # 0.11,nan # nan,nan # nan # nan # nan # nan # 0.02 # nan
Kt3pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 4.57 # nan
INSt2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
INSt3pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
INDOLEt2rpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 6.76 # nan
ILEt2rpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
ILEt3pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
HEXt2rpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
HOMt2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
HISt2rpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
HG2t3pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_h_e,8.06 # 8.05 # 8.05,8.06 # 12.98 # 7.08 # 7.08,nan # nan,nan # nan # nan # nan # nan # nan # nan
LIPAHTex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
XTSNt2rpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
URIt2pp_copy2_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
TYRt2rpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
TRPt2rpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 6.76 # nan
THMDt2pp_copy2_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PYRt2rpp_reverse,0.0 # nan # nan,0.0 # 0.0 # nan # nan,nan # nan,nan # nan # nan # nan # nan # nan # nan
PROt2rpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PPPNt2rpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PHEt2rpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
PACALDt2rpp_reverse,0.0 # nan # nan,0.0 # 0.0 # nan # nan,nan # nan,nan # nan # nan # nan # nan # nan # nan
NO2t2rpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
L_LACt2rpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
D_LACt2pp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
INDOLEt2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 4.57 # nan
HEXt2rpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
HISt2rpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
GUAtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
GUAtpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
GUAt2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
GUAtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_gua_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
GUAtpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_gtp_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_gthrd_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_gthox_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
GSNt2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_gsn_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
GSNt3pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_gmp_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
GLYCLTt4pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
GLYCLTt2rpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_glyclt_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
GLYCLTt2rpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
GLYC3Pt6pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_glyc3p_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_glyc2p_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
GLYCtpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_glyc_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
GLYCtpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
GLYCAt2rpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 30.0 # nan
EX_glyc__R_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
GLYCAt2rpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 30.0 # nan
GLYBt2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_glyb_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
GLYBt3pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 30.0 # nan
GLYALDtpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_glyald_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
GLYALDtpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
GLYtpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
GLYt4pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
GLYt2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_gly_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
GLYtpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
GLUt4pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
GLUt2rpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_glu__L_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
GLUt2rpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_gln__L_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_glcur1p_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
GLCURt2rpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_glcur_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
GLCURt2rpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
GLCRt2rpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 30.0 # nan
EX_glcr_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
GLCRt2rpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 30.0 # nan
GLCNt2rpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_glcn_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
GLCNt2rpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
GLCtex_copy2_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 7.11 # nan
GLCt2pp,0.0 # 0.0 # 0.0,0.0 # 10.0 # 4.09 # 4.09,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
GLCtex_copy1,10.0 # 2.81 # 0.0,10.0 # 10.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
GLCtex_copy2,0.0 # 7.19 # 10.0,0.0 # 0.0 # 0.0 # 10.0,nan # nan,nan # nan # nan # nan # nan # 7.11 # nan
EX_glc__D_e,0.0 # -10.0 # -10.0,0.0 # 0.0 # -10.0 # -10.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_gdp_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_gbbtn_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
GAM6Pt6_2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_gam6p_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_gam_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
GALURt2rpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_galur_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
GALURt2rpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
GALTptspp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.0 # nan
EX_galt_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
GALCTNLt2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 30.0 # nan
EX_galctn__L_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
GALCTNt2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 30.0 # nan
EX_galctn__D_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
GALCTt2rpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 30.0 # nan
EX_galct__D_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
GALCTt2rpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 30.0 # nan
EX_gal1p_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
GALt2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_gal_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_gal_bD_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
G6Pt6_2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_g6p_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_g3ps_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_g3pi_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_g3pg_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_g3pe_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_g3pc_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_g1p_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
FUSAtpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 4.57 # nan
EX_fusa_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
FUMt1pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
SUCFUMtpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
FUMt2_3pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
FUMt2_2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_fum_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
FUMt1pp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
SUCFUMtpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
FUCtpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_fuc__L_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
FUCtpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
FRUURt2rpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_fruur_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
FRUURt2rpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
FRULYSt2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_frulys_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
FRUptspp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.0 # nan
EX_fru_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
FORt2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_for_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
FORtppi,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
FMNtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 7.11 # nan
FMNtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 7.11 # nan
EX_fmn_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
FMNt,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 4.57 # nan
FEOXAMUtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_feoxam_un_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
FEOXAMUtpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_feoxam_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
FEOXAMtonex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 0.01 # nan
EX_feenter_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
FEENTERtonex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 0.01 # nan
FECRMUtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_fecrm_un_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
FECRMUtpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_fecrm_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
FECRMtonex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 0.01 # nan
FE3HOXUtpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_fe3hox_un_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
FE3HOXUtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_fe3hox_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
FE3HOXtonex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 0.01 # nan
EX_fe3dhbzs_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
FE3DHBZStonex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 0.01 # nan
EX_fe3dcit_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
FE3DCITtonex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 0.01 # nan
EX_fe3_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
FE2tpp,0.01 # 0.01 # 0.01,0.01 # 0.01 # 0.01 # 0.01,nan # nan,nan # nan # nan # nan # nan # 300.0 # nan
FE2t2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 167.9 # nan
EX_fe2_e,0.0 # -0.01 # -0.01,0.0 # 0.0 # -0.01 # -0.01,nan # nan,nan # nan # nan # nan # nan # nan # nan
FE2t3pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
FALDtpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_fald_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
FALDtpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
FADtex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 7.11 # nan
FADtex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 7.11 # nan
EX_fad_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
FADt,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 4.57 # nan
F6Pt6_2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 14.58 # nan
EX_f6p_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
Ftex,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 7.11 # nan
Ftex_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 7.11 # nan
Ftpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # 0.22 # nan
ETOHtrpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
EX_etoh_e,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,nan # nan,nan # nan # nan # nan # nan # nan # nan
